station	scale	mode	file
station_09	85	full	station_09__pkg0218_s85_full.png
station_09	85	mono	station_09__pkg0218_s85_mono.png
station_09	85	notext	station_09__pkg0218_s85_notext.png
station_09	100	full	station_09__pkg0218_s100_full.png
station_09	100	mono	station_09__pkg0218_s100_mono.png
station_09	100	notext	station_09__pkg0218_s100_notext.png
station_09	115	full	station_09__pkg0218_s115_full.png
station_09	115	mono	station_09__pkg0218_s115_mono.png
station_09	115	notext	station_09__pkg0218_s115_notext.png
station_13	100	full	station_13__pkg0218_s100_full.png
station_13	100	notext	station_13__pkg0218_s100_notext.png
station_18	100	full	station_18__pkg0218_s100_full.png
station_18	100	notext	station_18__pkg0218_s100_notext.png
