station	scale	mode	file
station_08	85	full	station_08__pkg0202_s85_full.png
station_08	85	notext	station_08__pkg0202_s85_notext.png
station_08	100	full	station_08__pkg0202_s100_full.png
station_08	100	notext	station_08__pkg0202_s100_notext.png
station_08	115	full	station_08__pkg0202_s115_full.png
station_08	115	notext	station_08__pkg0202_s115_notext.png
station_11	85	full	station_11__pkg0202_s85_full.png
station_11	85	notext	station_11__pkg0202_s85_notext.png
station_11	100	full	station_11__pkg0202_s100_full.png
station_11	100	notext	station_11__pkg0202_s100_notext.png
station_11	115	full	station_11__pkg0202_s115_full.png
station_11	115	notext	station_11__pkg0202_s115_notext.png
station_14	85	full	station_14__pkg0202_s85_full.png
station_14	85	notext	station_14__pkg0202_s85_notext.png
station_14	100	full	station_14__pkg0202_s100_full.png
station_14	100	notext	station_14__pkg0202_s100_notext.png
station_14	115	full	station_14__pkg0202_s115_full.png
station_14	115	notext	station_14__pkg0202_s115_notext.png
station_43	85	full	station_43__pkg0202_s85_full.png
station_43	85	notext	station_43__pkg0202_s85_notext.png
station_43	100	full	station_43__pkg0202_s100_full.png
station_43	100	notext	station_43__pkg0202_s100_notext.png
station_43	115	full	station_43__pkg0202_s115_full.png
station_43	115	notext	station_43__pkg0202_s115_notext.png
