station	scale	mode	file
station_01	85	full	station_01__pkg0219_s85_full.png
station_01	85	mono	station_01__pkg0219_s85_mono.png
station_01	85	notext	station_01__pkg0219_s85_notext.png
station_01	100	full	station_01__pkg0219_s100_full.png
station_01	100	mono	station_01__pkg0219_s100_mono.png
station_01	100	notext	station_01__pkg0219_s100_notext.png
station_01	115	full	station_01__pkg0219_s115_full.png
station_01	115	mono	station_01__pkg0219_s115_mono.png
station_01	115	notext	station_01__pkg0219_s115_notext.png
station_09	85	full	station_09__pkg0219_s85_full.png
station_09	85	mono	station_09__pkg0219_s85_mono.png
station_09	85	notext	station_09__pkg0219_s85_notext.png
station_09	100	full	station_09__pkg0219_s100_full.png
station_09	100	mono	station_09__pkg0219_s100_mono.png
station_09	100	notext	station_09__pkg0219_s100_notext.png
station_09	115	full	station_09__pkg0219_s115_full.png
station_09	115	mono	station_09__pkg0219_s115_mono.png
station_09	115	notext	station_09__pkg0219_s115_notext.png
station_11	100	mono	station_11__pkg0219_s100_mono.png
station_12	100	mono	station_12__pkg0219_s100_mono.png
station_15	100	mono	station_15__pkg0219_s100_mono.png
