station	scale	mode	file
station_05	100	full	station_05__pkg0225_s100_full_post.png
station_05	100	notext	station_05__pkg0225_s100_notext_post.png
station_18	100	full	station_18__pkg0225_s100_full_post.png
station_18	100	notext	station_18__pkg0225_s100_notext_post.png
station_42a	100	full	station_42a__pkg0225_s100_full_post.png
station_42a	100	notext	station_42a__pkg0225_s100_notext_post.png
station_42b	100	full	station_42b__pkg0225_s100_full_post.png
station_42b	100	notext	station_42b__pkg0225_s100_notext_post.png
station_42c	100	full	station_42c__pkg0225_s100_full_post.png
station_42c	100	notext	station_42c__pkg0225_s100_notext_post.png
